家居 	 家装 减碳 从 点滴 来 做起   实现 家居 装修 低碳 的 目标 “ 低碳 节能 ” 之风 吹遍 大江南北 的 时候 ， 也 深入 家装 人士 之心 。 作为 “ 定制 化 ” 程度 很 高 的 行业 ， 消费者 的 选择 决定 了 原材料 的 选择 、 生产 的 过程 和 成品 的 呈现 ， 只有 消费者 和 企业 一起 努力 ， 才能 真正 实现 “ 减碳 ” 。 在 装修 过程 中 怎么 做 才能 实现 “ 低碳 ” 目标 呢 ？ 专家 表示 ， 材料 、 设计 、 工程 哪个 环节 都 不能 少 。 一 、 设计 ： 简约 、 自然 最佳 低碳 家装 要 从 源头 — — 设计 抓起 。 首先 ， “ 轻 装修 、 重 装饰 ” 的 设计 理念 ， 可以 让 整体 工程 的 “ 碳 排量 ” 降下来 ， 在 低 碳 之 余 还 为 家装 费用 “ 减负 ” 。 其次 ， 空间设计 上应 考虑 利用 自然资源 、 自然通风 、 多向 采光 ， 减少 空调 及 照明设备 的 使用 。 采用 一些 特殊 的 节能 系统 ， 像 红外线 感应 灯光 开关 系统 实现 “ 人 走 灯 熄 ” 来 节约 电能 。 二 、 材料 ： 选用 环保 、 节能产品 在 设计 选材 上 ， 尽量 选用 环保 、 易 再生 、 可回收 的 装饰 材料 ， 少用 或 不用 纯实 木地板 ， 多用 复合 强化 地板 ， 如 竹地板 、 竹胶 饰面板 等 ； 用 水性漆 而 尽量 不用 油性 漆 ； 选用 工厂 加工 好 的 成品 或 半成品 。 在 保证 使用 功能 的 情况 下 ， 可 尽量 选择 耗电量 、 用水量 低 的 日常 用具 ， 减少 资源 浪费 和 水电 费用 支出 。 一些 可以 自行 调节 能耗 功能 的 产品 也 可 考虑 。 如 具有 随控 开关 的 面板 可以 方便 地 将 电器 电源 关掉 ， 避免 其 长期 处于 待机 状态 而 耗电 ， 还 可以 保护 电器 ； 带有 定时 控制阀 的 采暖系统 在 家中 无人 时 可 调低 室温 ， 待 需要 提高 温度 时 ， 使用 自控 调节阀 定时 调整 ， 达到 节能 的 效果 。 家装 公司 减碳 要点 家装 公司 的 所作所为 也 能 做到 减碳 。 1 、 节省 施工 照明用 电 ： 日常 施工 照明用 电 ， 采用 节能灯 取代 白炽灯 ； 油工 打磨 腻子 时用 防爆灯 ， 采用 瓦数 更 低 的 白炽灯 。 2 、 节省 施工 机具 用电 ： 采用 低 功率 气泵 、 电钻 取代 大功率 气泵 、 电钻 ； 采用 非 电动式 陶瓷 切割机 取代 大功率 云母 机 。 3 、 节省 施工 用水 ： 现场 使用 临时 水盆 ， 洗手 时 水盆 下水 接入 专用 存 水桶 内 ， 洗手 水 用于 冲厕 等 。 三 、 施工 ： 点滴 做起 多头并进 施工 工程 部分 是 家装 的 重点 ， 此 过程 减碳 一方面 要 在 过程 中 主动出击 直接 减少 碳 排量 ， 另一方面 是 为 家装 完成 后 的 “ 碳 排量 ” 打下基础 ， 做好 “ 卫士 ” 工作 。 1 、 直接 减排 瓷砖 采用 薄 贴法 ， 用 石膏板 轻质 隔墙 部分 代替 砖 砌墙 以及 采用 合理 防水 涂布 ， 都 可以 做到 直接 减排 。 专家 介绍 ， 传统 铺 贴法 采用 水泥砂浆 作为 瓷砖 粘贴 材料 ， 粘贴 层 厚度 为 20 - 30mm 。 薄贴 法则 采用 新型 的 瓷砖 粘贴 材料 ， 粘贴 层 厚度 仅为 2 - 4mm ， 材料 为 成品 ， 较 传统 方法 节省 大量 的 材料 和 施工 时间 ， 粘贴 强度 还 优于 传统 方法 。 出于 格局 改造 需要 ， 新建 墙体 也 很 常见 。 黏土砖 的 生产 存在 高能耗 、 严重 污染环境 的 问题 ， 用 其 砌 新建 墙 还 会 加重 楼梯 承载 。 石膏板 则 质轻 、 耐火 、 保温 ， 用 它 砌筑 轻质 墙 将 会 大为 节省 煤 、 水泥 用量 ， 从而 减少 碳 排量 。 2 、 减碳 卫士 更换 优质 门窗 、 做好 外墙 内 保温 、 减少 水电 备用 端口 等 可 作为 房屋建筑 一道 防止 能量 损失 的 墙 。 一些 老房 的 门窗 老化 、 生锈 ， 已经 成为 能源 损耗 的 “ 罪魁祸首 ” 。 年志仁 表示 ， 最好 能够 换上 密封 性能 好 的 门窗 产品 ， 铁窗 、 木窗 可 换成 塑钢窗 或 断桥 铝合金 窗 ， 窗玻璃 可 换成 中空 双层 玻璃 或 真空 双层 玻璃 。 做好 外墙 内 保温 系统 可以 减少 夏季 制冷 、 冬季 采暖 的 能耗 。 位于 顶层 、 西 向 、 把 角 的 户型 可 在 与 外部 相接 的 墙体 内侧 做 一个 保温层 ， 实现 隔热 、 保温 、 隔音 。 不少 业主 在 装修 中会 将 今后 可能 用到 的 端口 位置 都 预留 出来 。 事实上 ， 这些 备用 端口 的 使用率 极低 ， 不仅 会 造成 材料 浪费 ， 备用 强电 端口 还会 产生 电能 损耗 ， 水路 端口 会 留下 渗漏 、 爆管 等 隐患 ， 建议 合理 预留 端口 ， 不要 一味 求全 。 无绳电话 、 电冰箱 等 需要 长期 通电 使用 的 电器 ， 可 在 总控 开关 中 单独 布线 。 不 需用 电时 可 将 总控 开关 中 的 其他 开关 关掉 ， 既 可 减少 电能 损耗 ， 又 可 保证 电器 安全 ， 最大 程度 避免 电路 隐患 。 我要 评论 
 家居 	 《 雏菊 》 荷兰 乡村 别墅 ( 图 ) 2 . 《 雏菊 》   风格 ： 荷兰 乡村 别墅 《 雏菊 》 全程 在 阿姆斯特丹 拍摄 ， 从 全智贤 和 郑宇成 定情 的 草原 ， 到 全智贤 作画 的 广场 ， 乃至 乡间别墅 ， 刘伟强 发挥 他 摄影师 出身 的 特长 ， 把 画面 拍 得 美轮美奂 。 发现自己 在 众多 想 去 的 地方 之中 ， 又 增加 了 荷兰 鹿特丹 。 阳光 下 的 广场 ， 古老 的 建筑 ， 交错 的 水道 。 当然 还有 那 绿荫 别墅 的 田园风光 ， 更是 那 成片 的 雏菊 。   
 家居 	 《 音乐 之声 》 维也纳 别墅 ( 图 ) 9 . 《 音乐 之声 》   风格 ： 维也纳 别墅 美丽 的 萨尔茨堡 是 位于 奥地利 北部 的 一个 小 山城 ， 它 是 著名 音乐家 莫扎特 的 故乡 。 脍炙人口 的 好莱坞 著名 电影 《 音乐 之声 》 就是 在 这儿 拍摄 的 。   
 家居 	 一个 亲近 自然 的 露天 阳台 ( 图 ) 这套 位于 佛罗伦萨 某一 老手 工作坊 屋顶 上 的 公寓 ， 不仅 多彩 又 环保 ， 还 特别 为身 在 都市 心在 田园 的 主人 专门 辟出 了 一个 亲近 自然 的 露天 阳台 谁 能 想到 在 佛罗伦萨   San   Frediano 住宅区 一个 小 院子 里 的 老 锯木厂 内 ， 居然 还有 两间 如此 精巧 的 居室 ! 一楼 有 一间 ， 屋顶 还有 一间 。 站 在 屋顶 ， 切 斯特罗 教堂 的 穹顶 赫然 入目 。 
 家居 	 一个 充满 色彩 的 空间 ( 图 ) 这 是 由 瑞典 设计师 Tham   &   Videg ? rd   Hansson 设计 的 一个 充满 色彩 的 空间 ， 非常 惊叹 ， 设计师 能够 如此 大胆 地 在 家居 空间设计 上 运用 色彩 ， 让 色彩 装饰 的 空间 带给 我们 的 美妙 感沉 。 空间 中 运用 了 大量 的 过渡性 色彩 ， 使 各 部分 空间 的 颜色 有机 的 联系 在 一起 ， 过渡 非常 自然 ， 除去 了 空间 中 单一 色彩 的 枯燥 ， 反而 给 空间 带来 一些 活泼 的 氛围 ， 偶然间 也 会 给 生活 于 空间 中 的 人们 带 了 一丝 的 新 喜 。 除了 色彩 运用 注意 合理 搭配 之外 ， 色彩 还 运用 了 适当 的 留白 ， 兼顾 人们 的 视觉 空间 ， 使 颜色 的 运用 ， 统一 而 并 不 单一 。 
 家居 	 一个 圆形 的 餐桌 ( 图 ) 一个 圆形 的 餐桌 有助于 保持 会话 的 畅通 ， 柔和 素净 的 色调 使 整个 餐厅 氛围 显得 很 安宁 。 
 家居 	 一个 完美 主义者 的 宗旨 ( 图 ) 至于 厨房用品 ， 男人 更 实践 着 一个 完美 主义者 的 宗旨 。 他们 会 精心 挑选 厨房 的 一切 工具 ， 从 精致 的 调羹 到 充满 时尚 感 的 整体橱柜 。 突然 收到 上级 下达 的 紧急任务 ， 厨房 里 的 吧台 就 临时 充当 起 工作台 ， 悠闲 的 品尝 着 刚刚 调制 好 的 鸡尾酒 ， 这 一刻 的 闲情逸致 并 没有 被 突发 工作 所 打断 。 或者 是 在 周末 邀请 朋友 举办 一个 小型 party , 开启 自己 珍藏 已久 的 红酒 ， 大家 一 起来 分享 这 美好 的 时光 。 酒 是 最能体现 出 一个 男人 的 品位 ， 因此 酒柜 对于 他们 来说 是 最 必不可少 的 厨房用品 。   
 家居 	 一个 很 差劲 的 楼 ( 图 ) 这是 一个 很 差劲 的 楼 ， 但 当时 买 的 时候 却 每平方米 8000 多 。 我 请 室内 设计师 给 我 装修 的 时候 勾搭 着 他 也 买 了 ， 还有 一帮 其他 的 朋友 ， 现在 彼此 见面 都 后悔 说 ： 你 看 这破 房子 ！ 当时 我们 买 的 时候 考虑 了 以下 几个 理由 ： 一 、 房子 的 墙 都 不 承重 ， 可以 随意 拆 。 二 、 房高 2.8 米 ， 不像 其他 的 都 是 2.5 米 高 。 因为 如果 拆 大发 了 ， 没有 一定 的 高度 会 很 难受 。 三 、 还有 一个 很 客观 的 因素 ， 就是 几年 前 只有 这 一处 房子 给 贷款 。 可 没想到 的 是 ， 等 我们 把 手续 都 办完 了 ， 也 就 过 了 3 个 月 ， 全 北京市 的 房子 都 可以 贷款 了 。 
 家居 	 一个 最 值得 信赖 的 避风港 ( 图 ) 无论 在 家里 有 多么 的 烦心 ， 有 那么 多 解决不了 的 家里 顼 事 ， 但是 在 家里 绝对 是 一个 最 值得 信赖 的 避风港 。 而 对于 宅女 来说 ， 轻松自在 的 感觉 更是 她们 的 心头 之好 ， 而 一款 温馨 舒适 的 沙发 ， 将 自己 置身于 之中 ， 那 是 一种 怎样 的 感觉 。 
 家居 	 一个 白色 或 浅色 的 披毯 ( 图 ) 红色 的 沙发 ， 如果 在 夏天 觉得 视觉 太 炎热 ， 不防 在 沙发 上 搭 一个 白色 或 浅色 的 披毯 。 
 家居 	 一个 简单 的 枕头   只要 用 彩色 条纹 织物 ( 图 ) 家中 的 织物 若 是 选择 条纹 风格 同样 能够 收到 不错 的 视觉效果 。 如 这样 一个 简单 的 枕头 ， 只要 用 彩色 条纹 织物 ， 用 专门 粘 织物 的 结构胶 ， 将 其 粘合 在 一起 ， 就 可以 自己 完成 ， 而且 很 耐洗 。 
 家居 	 一个 自主 意识 极强 的 人 ( 图 ) 接受 《 艺术人生 》 访问 时 ， 潮歌 写 了 三个 关键词 。 智慧 、 善意 、 信命 。 看到 “ 信命 ” ， 感觉 有点 意外 ， 印象 中 她 应该 是 一个 自主 意识 极强 的 人 ， 会 顺从 命运 的 安排 ？ 谈话 就 从 这里 开始 了 。 潮歌 ： 可以 说 是 接受 现实 ， 不 做 残酷 抗争 。 一件 事情 到来 的 时候 ， 你 顺着 它 的 劲儿 走 ， 比 你 逆 着 它 的 劲儿 走 ， 要 顺利 很多 。   
 家居 	 一个 风格 主题 是 设计 花园 的 前提 ( 图 ) 选择 主题   花园 无论 大小 ， 确定 一个 风格 主题 是 设计 花园 和 选择 植物 的 前提 。 这个 花园 定位 为 清新 浪漫 的 田园 风格 ， 无论 你 走 在 何处 ， 总能 被 柔和 清新 的 色彩 和 丰富 的 质感 包围 着 。 白色 花朵 的 植物 和 构筑物 提亮 了 整个 花园 的 色彩 。   分隔 空间   通过 划分 花园 区域 ， 能 让 花园 变得 更 舒适 实用 。 这个 花园 中有 种植 观赏 区域 和 供 人 放松 的 休憩 区 ， 不同 的 主题 让 人 行走 在 花园 中 注意力 不断 被 新 的 景观 元素 吸引 ， 产生 移步 换景 的 感觉 ， 好像 花园 也 变得 更大 了 ， 收获 到 更加 愉快 的 花园 体验 。   增加 结构   凉亭 、 藤架 、 篱笆 和 花门 等 构筑物 在 花园 中起 着 十分 重要 的 作用 ， 这些 结构性 的 设计 能 增加 花园 中 的 视觉 焦点 ， 让 花园 即使 在 冬季 植物 枯萎 后 ， 也 能 保持 很 好 的 结构 形态 。 这里 ， 白色 的 藤架 和 篱笆 等 构筑物 不仅 为 花园 带来 立体 的 视觉效果 ， 也 起到 提亮 花园 色彩 的 作用 。 藤架 为 攀援 月季 等 植物 提供 了 向上 攀爬 的 空间 。 
 家居 	 一些 俄罗斯 风格 的 老洋房 ( 图 ) 花园 街上 是 一些 俄罗斯 风格 的 老洋房 ， 房间 里 有 旧旧 的 木地板 、 大大的 壁炉 、 老式 的 家具 。 每个 人 对家 的 美好 感情 都 是从 儿时 那个 家 开始 的 ， 童年 生活 的 记忆 在 佟瑞欣 的 心里 有 很 重要 的 位置 。 当 他 建造 自己 的 家 的 时候 ， 他 首先 想到 的 就是 要 还原 儿时 的 记忆 。 要 在 一栋 新 的 钢筋水泥 房子 里 营造 出 老房子 的 感觉 很 不 容易 。 佟瑞欣 找 了 大量 旧 木头 ， 很多 是 老房子 被 拆后 留下 的 ， 还有 旧 的 门 、 楼梯 等 ， 这些 被 重新 利用 在 这套 新房子 里 。 旧 木头 不仅 有 怀旧 的 感觉 ， 还 不会 变形 ， 更 经久耐用 。 家里 从 地板 到 天花板 都 装饰 了 大块 的 木头 ， 原来 的 铝合金 门窗 也 都 换成 了 木质 门窗 。 房子 周围 搭建 了 木质 的 回廊 ， 坐在 这里 可以 一边 喝茶 一边 看 院子 里 的 风景 ， 真正 是 一个 乡间 木屋 。 
 家居 	 一些 小 细节 上 的 呼应 ( 图 ) 一些 小 细节 上 的 呼应 ， 如 地毯 、 同色系 的 储物盒 、 小 配饰 ， 都 与 床品 图案 有所 关联 ， 强调 了 细节 上 的 精致 。   
 家居 	 一些 戏剧 般的 艺术 和 魅力 ( 图 ) 一盏 玻璃 吊灯 向 这个 餐厅 注入 了 一些 戏剧 般的 艺术 和 魅力 ， 黑色 软垫 椅子 配 上 白色 的 勾勒 线 增加 了 视觉 重量 ， 使得 整个 餐厅 看起来 更 有 空间感 。 
 家居 	 一体化 餐台 妙用 空间 ( 图 ) 一体化 餐台 妙用 空间 橱柜 与 餐台 连为一体 ， 十分 实用 。 简洁 的 造型 、 硬朗 的 气质 ， 最 适合 面积 不大 的 厨房 ， 甚至 很 适合 那些 没有 餐厅 的 小 居室 及 公寓 ， 较 宽 的 桌面 也 更 适合 多人 用餐 。 
 家居 	 一共 有 三种 家居 风格 ( 图 ) 周杰伦 的 御用文人 方文山 ， 大家 都 已经 很 了解 了 . 据说 他家 的 装饰 以 地中海 为主 , 然后 包容 了 中式 , 田园 , 一共 有 三种 家居 风格 . 而 本文 要 给 读者 介绍 的 人家 , 则 是 包含 了 : 中式 古典 ， 美式 田园 ， 简约 温馨 ， 高贵 优雅 ， 比 方文山 家 还 多 了 一种 风格 . ， 简直 是 混 搭 的 高手 。 从 图片 中 我们 看出 ， 家里 的 每 一个 空间 都 经过 主人 的 悉心 设计 ， 在 家里 去 到 不同 的 地方 就 有 不同 的 味道 ， 厨房 是 阳光 的 美食 ， 书房 却是 传统 的 中式 ， 加上 小 饰品 的 配合 运用 ， 整个 家 随处 都 能 成为 一道 亮丽 的 风景 ！ 
 家居 	 一切 不 刻意 而 为   一切 又 似 刻意 而 为 ( 图 ) 家 ， 却 很 好 的 诠释 了 自由 意志 ， 没有 任何 形式 的 约束 ， 一切 的 来源 只 为 自由 的 表达 。 简单 的 爱 、 自由 的 爱 ， 不 因为 世俗 的 要求 而 妥协 ， 让 你 安静 的 沉浸 在 自己 的 世界 里 。 曾经 的 家 的 餐桌椅 、 茶几 ..... 不想 为了 所谓 风格 的 统一 而 舍弃 ， 根据 自己 的 预算 控制 、 根据 自己 的 使用 感觉 ， 想 保留 就 保留 下来 。 一切 不 刻意 而 为 ， 一切 又 似 刻意 而 为 ........   
 家居 	 一切 的 来源 只 为 自由 的 表达 ( 图 ) 家 ， 却 很 好 的 诠释 了 自由 意志 ， 没有 任何 形式 的 约束 ， 一切 的 来源 只 为 自由 的 表达 。 简单 的 爱 、 自由 的 爱 ， 不 因为 世俗 的 要求 而 妥协 ， 让 你 安静 的 沉浸 在 自己 的 世界 里 。 曾经 的 家 的 餐桌椅 、 茶几 ..... 不想 为了 所谓 风格 的 统一 而 舍弃 ， 根据 自己 的 预算 控制 、 根据 自己 的 使用 感觉 ， 想 保留 就 保留 下来 。 一切 不 刻意 而 为 ， 一切 又 似 刻意 而 为 ........ 家 ， 却 很 好 的 诠释 了 自由 意志 ， 没有 任何 形式 的 约束 ， 一切 的 来源 只 为 自由 的 表达 。 简单 的 爱 、 自由 的 爱 ， 不 因为 世俗 的 要求 而 妥协 ， 让 你 安静 的 沉浸 在 自己 的 世界 里 。 曾经 的 家 的 餐桌椅 、 茶几 ..... 不想 为了 所谓 风格 的 统一 而 舍弃 ， 根据 自己 的 预算 控制 、 根据 自己 的 使用 感觉 ， 想 保留 就 保留 下来 。 一切 不 刻意 而 为 ， 一切 又 似 刻意 而 为 ........ 
 家居 	 一切 要 简洁 大方   布局合理 ( 图 ) 厨房 是 妈妈 的 天地 ， 要 特别 注重 厨房 的 装修 。 一切 要 简洁 大方 ， 布局合理 ， 厨具 要 方便 拿 取 ， 电器设备 的 安装 要 注重 安全 性能 。 另外 ， 如果 有 足够 空间 。 放置 一盆 绿色植物 效果 更好 ， 让 妈妈 在 厨房 操作 的 时候 享有 清新 的 空气 和 绿色 心情 ！ 
 家居 	 一块 闹中取静 的 场所 ( 图 ) 在 热闹 的 城区 ， 有 这么 一块 闹中取静 的 场所 ， 也 属 不易 。 “ 来 了 客人 ， 一般 都 在 这里 。 ” 小柯 所指 的 “ 这里 ” 是 会客室 。 从 他 的 叙述 中 ， 你 几乎 感觉 不到 会议室 这 三个 略显 正式 的 字眼儿 。 “ 家里 的 客厅 也 和 它 差不多 。 钢琴 ， 毋庸置疑 ， 我 久居 的 地方 一定 会 有 它 ； 茶道 也 和 家里 的 差不多 ； 还有 这 条 木板 椅 ， 摆上去 年 拿到 的 这些 奖杯 ， 总比 挂 在 墙上 低调 吧 … … 我 在 这儿 的 时间 比 在家 还长 ， 现在 我 太太 天天 也 到 这儿 来 。 大家 开玩笑 ， 干脆 正式 住 到 这儿 挺 好 ！ ” 他 的 手指 从 钢琴 那 一角 横扫 了 整个 客厅 ， 每样 东西 都 有 它 存在 于 此 的 必要性 和 必须 性 。 阳光 透过 百叶窗 照进来 ， 他 慵 慵懒 懒地 将 自己 陷入 沙发 里 ， 时而 直 起身 ， 要么 点 一支 烟 ， 要么 抿 一口 茶 ， 然后 再 回到 他 惬意 的 状态 里 ， 跟 我们 不紧不慢 地聊 。 
 家居 	 一处 个性 十足 的 设计 ( 图 ) 另 一处 个性 十足 的 设计 ， 编织 的 盘型 装饰 ， 图案 很 有 味道 ， 流线型 摆放 ， 丰富 了 空间 的 内涵 。 
 家居 	 一套 3500 万美金 的 别墅 ( 图 ) 2008 年 3 月 11 日 ， 汤姆 - 克鲁斯 在 贝弗利 山庄 购买 了 一套 3500 万美金 的 别墅 ， 别墅 正在 修建 中 。 这是 1937 年 的 建筑 ， 原始 面积 是 10000 平方英尺 ， 4 年前 开始 扩大 ， 当前 包含 7 个 卧室 和 9 个 卫生间 。 克鲁斯 全家 有 他们 的 秘密 ， 这 房子 在 大门 和 冗长 的 车库 后面 ， 占地 1.3 英亩 ， 还有 一个 网球场 和 一个 游泳池 。   
 家居 	 一度 成为 国际 风格 的 象征 ( 图 ) 别墅 占地 2 英亩 ， 位于 悬崖 边 ， 整体 采用 各式 瓷砖 纹样 装点 ， 曾一度 成为 国际 风格 的 象征 。 LPA 保留 了 建筑物 的 外墙 和 屋顶 ， 但 事实上 他们 重新 翻修 了 所有 的 内部结构 ， 并 留出 客户 偏爱 的 活动 空间 ， 形成 休闲 空间 的 感觉 。 别墅 内部 的 五级 台阶 直通 餐厅 和 厨房 ， 营造 出 一种 宴会 空间 的 氛围 。 
 家居 	 一座 建筑 而是 一件 艺术品 ( 图 ) 当 自家 的 房子 让 每个 路过 的 人 都 忍不住 多望 两眼 ， 当 自家 的 房子 不仅仅 是 一座 建筑 而是 一件 艺术品 ， 有 了 符号 的 它 让 我 更 有 回家 的 欲望 ， 让 我 加快 了 回家 的 步伐 … … 
 家居 	 一座 房屋 的 存在 不 需要 土地 ( 图 ) 我们 可以 把 一座 房屋 的 存在 不 需要 土地 ， 比喻 成 一个 人 的 生存 不 需要 粮食 ， 而 不可思议 的 是 ， 这种 形而上 的 家居生活 真的 存在 于 法国 的 塞纳河 上 ， 也许 你 会 说 Floating   Guesthouse 更 像 一艘船 ， 它 的确 是 由 木材 制造 并且 浮在 水面 上 ， 但是 确信无疑 的 是 在 河上 生活 的 人会 慢慢 变得 浪漫 起来 。 
 家居 	 一把 椅子 可以 起到 重要 的 作用 ( 图 ) 越来越 多 的 OL 一族 ， 每天 坐班 8 小时 ， 回到 家里 还是 继续 在 电脑前 坐 着 ， 小肚腩 越来越 大 ， 这 已经 成为 OL 们 最 头疼 的 问题 。 这个 时候 ， 一把 好 的 椅子 可以 起到 至关重要 的 作用 。 推荐 几款 适合 的 椅子 ， 让 工作 生活 更 轻松 。 首先 要 意识 到 椅子 对于 我们 的 重要性 ， 一张 别致 的 座椅 能为 房间 起到 画龙点睛 的 作用 ， 前卫 一点 的 造型 能 给 原本 呆板 的 房间 带来 一丝 生气 。 更 重要 的 是 ， 做 得 舒服 对于 我们 的 身体 更是 非常 有 帮助 的 。 
 家居 	 一条 色彩艳丽 的 纱 幔 ( 图 ) 一条 色彩艳丽 的 纱 幔 ， 妩媚 高贵 的 丝质 抱 枕 ， 精工 手绣 的 宫廷 床帷 ， 晶莹剔透 、 闪金 鎏 银 的 工艺品 … … 处处 散发出 东南亚 贵族 生活 的 华丽 ， 贵气 与 神秘 ！ 
 家居 	 一楼 有 一间   屋顶 还有 一间 ( 图 ) 这套 位于 佛罗伦萨 某一 老手 工作坊 屋顶 上 的 公寓 ， 不仅 多彩 又 环保 ， 还 特别 为身 在 都市 心在 田园 的 主人 专门 辟出 了 一个 亲近 自然 的 露天 阳台 谁 能 想到 在 佛罗伦萨   San   Frediano 住宅区 一个 小 院子 里 的 老 锯木厂 内 ， 居然 还有 两间 如此 精巧 的 居室 ! 一楼 有 一间 ， 屋顶 还有 一间 。 站 在 屋顶 ， 切 斯特罗 教堂 的 穹顶 赫然 入目 。 
 家居 	 一款 古典 漂亮 的 红色 油漆 ( 图 ) 一款 古典 的 扶手椅 被 漆 上 了 漂亮 的 红色 油漆 ， 并且 用 动物 斑纹 来 装饰 ， 给 这个 女孩 房 增添 了 生动 的 色彩 。 
 家居 	 一款 古典 的 画框   一副 优雅 图画 ( 图 ) 当 涂鸦 风靡 全球 ， 成为 一种 时尚 的 时候 ， 这 股 风潮 开始 席卷 家居 领域 。 一款 古典 的 画框 、 一副 优雅 图画 ， 它们 的 组合 无疑 让 你 的 家居 更为 绅士 高贵 。 
 家居 	 一款 棉麻 材质 的 韩式 窗帘 ( 图 ) 推荐 理由 ： 同样 是 一款 棉麻 材质 的 韩式 窗帘 ， 活性 印花 ， 颜色 更 牢固 ， 耐 阳光 暴晒 不易 褪色 。 适中 的 厚度 也 可以 挡住 阳光 。 
 家居 	 一款 温馨 舒适 的 沙发 ( 图 ) 无论 在 家里 有 多么 的 烦心 ， 有 那么 多 解决不了 的 家里 顼 事 ， 但是 在 家里 绝对 是 一个 最 值得 信赖 的 避风港 。 而 对于 居家 女 来说 ， 轻松自在 的 感觉 更是 她们 的 心头 之好 ， 而 一款 温馨 舒适 的 沙发 ， 将 自己 置身于 之中 ， 那 是 一种 怎样 的 感觉 。 下面 就 为 各位 居家 女 介绍 几款 特色 沙发椅 ， 大家 一定 喜欢 。 无论 在 家里 有 多么 的 烦心 ， 有 那么 多 解决不了 的 家里 顼 事 ， 但是 在 家里 绝对 是 一个 最 值得 信赖 的 避风港 。 而 对于 宅女 来说 ， 轻松自在 的 感觉 更是 她们 的 心头 之好 ， 而 一款 温馨 舒适 的 沙发 ， 将 自己 置身于 之中 ， 那 是 一种 怎样 的 感觉 。 
 家居 	 一款 精美 雅致 的 餐具 ( 图 ) 有时 一款 精美 雅致 的 餐具 就是 一道 亮丽 的 风景线 ， 追求 品质 生活 的 你 怎能 缺少 这样 一份 情调 ， 尤其 在 亲朋 相聚 的 时刻 ， 此时 桌上 配 上 优美 精致 的 餐具 就 显得 很 是 应景 ， 为 你 精选 19 款 各式 餐具 ， 作为 小资 女人 的 你 怎能 错过 。 
 家居 	 一 物 两用 的 抽屉 ( 图 ) 2 . 布料 储物篮 柔软 面料 的 储物篮 ， 细心 呵护 孩子 的 衣物 ， 篮筐 外侧 附上 可爱 的 标识牌 ， 吸引 孩子 自己 收纳 整理 的 兴趣 。 3 . 一物 两用 的 抽屉 定制 的 床架 最大 的 特点 就是 抽屉 为 独立 的 带 滑轮 装置 ， 将 床 下 进深 较大 这部分 空间 高效 合理 地 利用 起来 。 将 抽屉 整个 外拉放 上 床垫 ， 就是 一张 机动 的 客床 。   
 家居 	 一盏 香料 精油 ( 图 ) 六 、 一盏 香料 精油 近来 吹 起 一阵 芳香 疗法 ， 而 芳香剂 也 可 改变 空间 的 能量 磁场 。 心理学家 的 研究 ， 我们 的 嗅觉 是 影响 记忆 的 最底层 ， 直接 影响 潜意识 ， 是 最 容易 开发 出 惊人 的 潜在 能量 ， 当 陷入 浪漫 或 快乐 情境 时 ， 下次 再 闻到 此 香味 ， 自然 回忆起 快乐 讯息 ， 爱 的 讯息 就是 让 自己 保持 浪漫 的 情绪 。   
 家居 	 一直 梦想 着 自己 有支 神奇 的 笔 ( 图 ) 一直 梦想 着 自己 有支 神奇 的 笔 ， 在 白纸 上画 下家 的 样子 ， 然后 就 真的 可以 变 出来 。 梦想 中 的 房子 一定 要够 美观 、 够 别致 、 够 力量 ， 像 雕塑 一般 充满 艺术 感 。   
 家居 	 一种 不可 亵玩 之意   而 质地 硬朗 ( 图 ) 青花瓷 外表 清淡 素净 ， 已有 一种 不可 亵玩 之意 ， 而 质地 硬朗 ， 更 有 一种 不 从 流俗 的 风骨 。 单件 欣赏 可 ， 真要 与 其他 家   什 搭配 得 妥当 却是 不易 。 好 就 好 在 它 一切 淡定 自然 、 自 在 我心 。 于是 才 终于 等到 那个 懂得 的 人 ， 以及 那些 沉着 的 老木 。   
 家居 	 一种 古色古香 的 历史感 ( 图 ) 优质 红酒 需要 时间 的 长久 酝酿 ， 红酒 盒子 也 会 带给 你 一种 古色古香 的 历史感 ， 同时 也 是 酒 文化 的 象征 。 
 家居 	 一种 回归自然 的 感觉 ( 图 ) 假如 用 这样 的 东西 做成 地板砖 ， 每天 踏 在 上面 是不是 有 一种 回归自然 的 感觉 ？ 
 家居 	 一种 抚慰 人心 的 安静 ( 图 ) 灰色 在 艺术家 的 眼里 永远 是 最 美丽 最 神秘 的 颜色 ， 它 那 丰富 的 层次感 和 色彩感 令人 陶醉 。   灰色 时尚 ， 灰色 冷酷 ， 灰色 运动 ， 灰色 更 妩媚 ---- 一种 琢磨不透 的 妩媚 。   灰色 包容 ， 灰色 宽广 ， 灰色 低调 ， 灰色 更 安静 ---- 一种 抚慰 人心 的 安静 。   
