家居 	 给 人 带来 不 一样 的 视觉效果 ( 图 ) 这种 两边 纤薄 的 沙发 ， 给 人 带来 不 一样 的 视觉效果 ， 配 上 两个 传统 的 鸡尾酒 小桌 ， 增加 了 空间 的 实用 功能性 。 墙面 的 空间 ， 用 一组 别致 的 瓷器 作为 展示 ， 聚集 了 整个 空间 的 焦点 。 
 家居 	 绳结 的 随意 气质 ( 图 ) 绳结 的 随意 气质 用 白色 麻布 绳 穿过 桌布 四角 安装 的 金属 扣眼 ， 看起来 十分 随意 ， 让 人 联想起 出海 的 水手 。 
 家居 	 维多利亚 阳光房 ( 图 ) 维多利亚 阳光房 维多利亚 式 ， 也 是 阳光房 经典 的 造型 之一 。 它 沿袭 了 英国 维多利亚 时期 的 宫廷 建筑风格 。 以 框架结构 搭建 出 长方形 或 梯形 的 各个 斜面 ， 顶部 辅以 夸张 的 装饰 。 维多利亚 式 阳光房 的 造型 ， 下方 上尖 ， 古典 而 庄重 ； 多个 棱面 折射出 不同 的 日光 ， 酷似 熠熠生辉 的 钻石 ， 因而 又 有 个 “ 钻石 屋 ” 的 美称 。 当年 英国 贝 德芙 公爵夫人 ， 每到 下午 就 意兴阑珊 、 百无聊赖 。 此时 距离 穿着 正式 、 礼节 、 复 的 晚餐 Party 还有 段时间 ， 肚子 却 有点 饿 了 。 于是 请 女仆 准备 奶油 、 茶 和 烤面包 ， 邀请 几位 知心 好友 同享 轻松 惬意 的 午后 时光 。 无从 得知 “ 红茶 文化 ” 的 由 来 是否 也 和 阳光房 有关 。 但 我 想 沐浴 在 阳光房 微温 的 空气 里 ， 周围 是 花木扶疏 和 流动 的 光影 ， 视野 里 满溢 着 明亮 的 绿意 ， 和 三五 知己 细品 慢 饮 ； 一定 是 一次 不坏 的 下午茶 。 
 家居 	 绸缎 光泽 的 玫 红色 壁纸 ( 图 ) 泛着 绸缎 光泽 的 玫 红色 壁纸 ， 就是 空间 的 背景 色彩 ， 无需 浓墨重彩 ， 只 在 米 白色 沙发 上 随意 点缀 几款 玫 红色 与 米 白色 相间 的 花纹 靠垫 ， 即可 将 色彩 的 张力 优雅 释放 。   
 家居 	 绽放 优雅   王子 与 公主 惊艳 美家 ( 组图 ) 进门处 的 珠帘 ， 让 人 感觉 眼前一亮 
 家居 	 绿叶 和 红花 可以 衬托 你 的 家 ( 图 ) 绿叶 可以 衬托 红花 。 绿叶 和 红花 可以 … … 衬托 你 的 家 ！ 采用 红色 和 绿色 的 鲜艳 配合 ， 使 田园 风格 的 家 变得 更 醒目 。   
 家居 	 绿意 古典 床具   勾勒 卧室 的 清新自然 ( 组图 ) 绿色 似乎 是 春 的 宠儿 ， 拥有 粉 绿色 睡床 ， 尽 可 在 这个 季节 ， 放大 春天 的 美丽 。 软包 的 浅绿 床头 ， 本身 便 被 用来 展示 着 春 的 色彩 ， 复古 的 造型 又 增添 了 几分 轻柔 。 搭配 各种 充满 绿意 的 植物 、 花草 等 自然 图案 的 床品 ， 可 使 卧室 呈现出 不同 的 春色 表演 。 
 家居 	 绿植 点缀 格外 精彩   灯具 选择 尤为 精心 ( 图 ) 混 搭 风格 的 最优 特点 就是 轻松 自然 、 随意 亲切 。 主人 不会 因为 遵循 单一 风格 的 特点 而 被 捆住手脚 ， 不敢 大胆 创造 。 下面 的 混 搭 案例 中 ， 有 现代 风格 、 田园 风格 、 日式 风格 ， 格调 清新 淡雅 ， 精致 可人 。 
 家居 	 绿色 也 是 主人公 很 喜欢 的 颜色 ( 图 ) 绿色 也 是 我 很 喜欢 的 颜色 ， 以前 看过 很多 杂志 ， 感觉 绿色 很 清新 。 而 双 面盆 和 淋浴房 的 设计 则 是 最大 限度 地 考虑 到 方便 。   
 家居 	 绿色 也 是 整个 色系 的 好搭档 ( 图 ) 除了 蓝色 之外 ， 绿色 也 是 整个 色系 的 好搭档 。 可以 让 整个 空间 有出 挑 的 亮点 
 家居 	 绿色 似乎 是 春 的 宠儿   拥有 粉 绿色 睡床 ( 图 ) 绿色 似乎 是 春 的 宠儿 ， 拥有 粉 绿色 睡床 ， 尽 可 在 这个 季节 ， 放大 春天 的 美丽 。 软包 的 浅绿 床头 ， 本身 便 被 用来 展示 着 春 的 色彩 ， 复古 的 造型 又 增添 了 几分 轻柔 。 搭配 各种 充满 绿意 的 植物 、 花草 等 自然 图案 的 床品 ， 可 使 卧室 呈现出 不同 的 春色 表演 。 
 家居 	 绿色 加上条纹 的 运用 ( 图 ) 初夏 ， 为 必要 把 家 布置 得 湛蓝 一篇 才能 得到 清凉 。 绿色 加上条纹 的 运用 ， 给 了 我们 清凉 布置 的 新思路 。 简单 、 灵活 的 书架 ， 清透 的 玻璃 材质 ， 也 能 使家 绽放 清爽 视觉 感受 。 
 家居 	 绿色 厨房   高效 省时 ( 组图 ) 在 这个 厨房 中 ， 备餐区 与 用餐 区 重复 连接 的 中心 岛台 让 使用率 大大 提升 。 同时 ， 绿色 环保 的 设计 始终 贯穿 在 厨房 的 每个 角落 , 带给 你 高效 省时 的 全新 厨房 体验 。 合二为一   温情 岛台 中央 用餐 区 的 设计 新颖别致 ， 可以 让 你 暂时 将 收拾 厨房 的 事情 抛 在 脑后 ， 专心 和 家人 享受 一顿 晚餐 。 打破常规 的 岛 台 设计 ， 将 用餐 区 巧妙 加 在 操作台 后面 ， 舒适 的 圆形 软座 鼓励 你 和 家人 围坐在 一起 吃饭 ， 同时 ， 岛台 两旁 还有 存放 酒 的 酒架 和 储物 的 抽屉 ， 增加 了 便利 的 收纳 功能 。 宽敞 的 台面 可供 你 做 餐前 准备 或 采用 自助 的 用餐 形式 。 
 家居 	 绿色 家装 在 自然 里 自由 呼吸 ( 组图 ) 绿色 和 白色 两种 基调 打造 简洁 自然 的 时尚家居 ， 适时 的 配饰 ， 自然 的 色调 ， 走进 房间 ， 清新 的 绿映 在 眼前 ， 身心 一下子 就 舒展 开来 ： 
 家居 	 绿色 帘子 藏起 书柜 ( 图 ) 绿色 帘子 藏起 书柜 ， 为 错综复杂 的 图书 颜色 蒙 上 一层 统一 的 清新 色调 ， 简约 干净 。 
 家居 	 绿色植物 享受 居室 鲜绿 凉意 绿色植物 具有 舒缓 视觉 疲劳 、 安定 情绪 等 优点 ， 在 我们 平常 居住 、 工作 的 空间 里 ， 不管 是 种 满 一 阳台 的 花草 ， 或者 只是 在 书桌 一隅 摆盆好 照顾 的 绿色 盆栽 ， 都 能够 替 生活 增添 绿意 与 新鲜空气 ， 让 人 可以 平心静气 的 享受 随着 微风 拂过 带来 的 鲜绿 凉意 。   色彩 搭配 增强 效果 色彩 搭配 增强 效果   若要 靠 绿意 布置 达到 清凉 的 目的 ， 除了 选择 各种 不同 层次 的 绿色 ， 替 环境 营造 超自然 的 荫凉 感外 ， 更 建议 选用 如 白色 、 米色 、 鹅黄色 等 较 清爽 色系 的 花器 ， 可 彰显 植物 的 自然 清新 ， 更 让 整个 氛围 轻松 许多 。 低 关照 度 植物 低 关照 度 植物 要是 知道 自己 很 健忘 ， 一定 会 常常 忘记 给 植物 浇水 施肥 ， 就 选择 最 不 需要 照顾 的 植物 吧 ！ 像 黄金 葛 、 常春藤 等 水土 皆宜 的 观叶 植物 ， 或者 仙人掌 等 不 需要 太常 浇水 的 多 肉 植物 ， 都 是 很 好 的 选择 。   
 家居 	 绿色 环保 无烟 烟灰缸 ( 图 ) 当 吸烟 时 ， 打开 前面 盖子 ， 里边 的 抽烟 装置 自动 启动 ， 将 烟 放置 在 烟 槽 里 ， 烟 被 自动 吸进 过滤 装置 ， 烟雾 不会 到处 飘 。   使用 说明 ：   1 . 打开 前门 ， 将 烟 放进 烟槽 ， 除烟 装置 会 自动 打开   2 . 清理 烟灰 时 ， 取出 烟灰缸 即可 清理   3 . 当 烟雾 不能 被 完全 吸收 时 ， 更换 电池 即可   4 . 本 产品 使用 两节 ( “ AA ” 1.5 v 干电池 ) 
 家居 	 绿色 生活 理念 ( 图 ) 0 ~ 3 岁 的 宝宝 成长 发育 时 对 外界 环境 最为 敏感 ， 此时 ， 环保 是 设计 时 必须 要 关注 的 问题 。 绿色 环保 不仅 意味着 装修 材料 上 的 零 污染 ， 也 代表 着 一种 可 持续 的 绿色 生活 理念 。 将 这 理念 注入 宝宝 的 成长 世界 ， 必将 有利于 孩子 的 身心健康 。 
 家居 	 绿色 的 墙壁 擦 出 别样 的 火花 ( 图 ) 白色 和 绿色 的 墙壁 擦 出 别样 的 火花 ， 颜色 的 变换 以及 多 色调 的 重复 绿色 ， 让 浴室 拥有 多彩的 外观 ， 在 视觉 上 就 更胜一筹 。 白色 和 绿色 的 墙壁 擦 出 别样 的 火花 ， 颜色 的 变换 以及 多 色调 的 重复 绿色 ， 让 浴室 拥有 多彩的 外观 ， 在 视觉 上 就 更胜一筹 。 
 家居 	 绿色 系 卫浴间 设计 ( 图 ) 绿色 系 卫浴间 设计 ， 清新自然 。   
 家居 	 绿色 胜利 豆丁 迷你 小 风扇 ( 图 ) " 心情 豆丁 " 系列 风扇 , 今夏 流行风 的 主旋律   扇叶 柔软 ， 风力 强劲 。 使用 2 节 7 号 电池 。   带 挂绳 设计 ， 炎热夏日 ， 随时 驱走 炎热 。   从 现在 开始 , SHOW 出 你 的 豆丁 心情 来 ........   必胜 豆丁 : 借助 旋风 的 威力 , 前进 前进 ~ , 勇者 必胜 ! 
 家居 	 绿色 装饰   让 居室 清爽 宜人 ( 组图 ) 改变 原有 的 暖色 布艺 ， 选择 冷色调 的 面料 包 沙发 ， 另外 与 同 色调 的 茶几 和 搁板 进行 搭配 ， 须 注意 的 是 ， 可 选择 完全 同种 颜色 ， 也 可以 选择 同色系 ， 但 色彩 种类 越少 越 好 ， 那样 会 显得 更为 干净 。 
 家居 	 绿饰 最能 怡情 ( 图 ) 绿饰 最能 怡情 绿色植物 能够 减少 室内 的 污染 ， 如果 房间 里 摆放 几盆 绿色植物 ， 在 室内 您 也 能 呼吸 到 清新 的 空气 了 。 在 适合 的 位置 更 需要 放 一些 植物 ， 不必 刻意 选择 名贵 的 花草 ， 哪怕 只是 一盆 兰花 ， 一株 富贵竹 ， 也 可以 让 人 油然 产生 清凉 的 感觉 。 如 吊兰 、 鸭趾草 、 棕榈 等 都 能 吸收 因 室内 装修 而 散发 出来 的 甲醛 ， 是 不错 的 选择 。 
 家居 	 编织   大方 典雅 ( 图 ) 编织   大方 典雅 这 款 相框 改变 了 相框 刚硬 的 造型 ， 而是 做成 编织 的 纹路 ， 使 相框 看起来 柔软 而且 充满 浪漫气息 。 编织 感 的 相框 大方 而 典雅 ， 适合 摆放 在 具有 田园 风格 的 卧室 或 休闲 区 ， 在 家里 休息 的 时候 ， 看到 精致 的 相框 ， 会 有种 悠然 的 感觉 。   
 家居 	 缤纷 客厅   美得 让 你 流口水 ( 组图 ) 客厅 颜色 的 选用 往往 反映 主人 的 个性 ， 暖色 开朗 ， 冷色 严谨 。 你家 客厅 的 颜色 是 哪 一种 ？ 家具 在 客厅 的 布置 充分利用 了 落地 窗户 的 优势 。 厚重 的 窗帘 能够 替身 昏暗 房间 的 气氛 ， 创造 出 特别 的 灯光 氛围 。 客厅 颜色 的 选用 往往 反映 主人 的 个性 ， 暖色 开朗 ， 冷色 严谨 。 你家 客厅 的 颜色 是 哪 一种 ？ 家具 在 客厅 的 布置 充分利用 了 落地 窗户 的 优势 。 厚重 的 窗帘 能够 替身 昏暗 房间 的 气氛 ， 创造 出 特别 的 灯光 氛围 。 
 家居 	 缤纷 的 拼接 格子 色块 ( 图 ) 缤纷 的 拼接 格子 色块 ， 可爱 而 率真 ， 无来 由 的 耳目一新 ， 有 假日 般的 好 心情 。 
 家居 	 缤纷 的 门厅   时尚 简洁 的 储物架 ( 图 ) 这是 一个 色彩缤纷 的 门厅 ， 时尚 简洁 的 储物架 使 这里 的 色彩 一下子 明亮 起来 ， 而且 让 这里 有 更 多 的 存储空间 。 放置 些小 储物盒 可以 分类 收纳 物件 ， 墙上 的 挂钩 能够 挂些 包包 和 外套 ， 都 是 十分 实用 的 。 
 家居 	 缤纷 餐具 演绎 绝美 厨房 ( 图 ) 天气 渐渐 热 了 起来 ， 你 的 胃口 是不是 受到 了 影响 ， 换 一套 精美 的 餐具 吧 ， 让 它 来 给 你 的 餐具 增添 一道 靓丽 的 风景 ： 
 家居 	 网友 小鱼 和 石头 的 唯美 艺术照 ( 图 ) 网友 小鱼 和 石头 的 唯美 艺术照 ， 也 成 一道 装饰 的 风景线 。 
 家居 	 网友 小鱼 和 石头 的 温暖 乡村 田园 ( 组图 ) 经典 的 条纹 ， 可爱 的 碎花 ， 纯净 的 原木 ， 是 构成 田园 家居 的 基本 元素 。 网友 小鱼 和 石头 的 温暖 二人 窝 ， 暖 黄 格调 ， 翠绿 的 植物 ， 浪漫 的 花饰 墙壁 ， 复古 田园 的 吊灯 ， 让 一切 显得 如此 温馨 、 惬意 。 碎花 料 的 沙发 与 格纹 状 的 窗帘 ， 使 客厅 显得 和谐 、 平衡 ， 明媚 的 地光 更显 温馨 浪漫 。 
 家居 	 网友 支招   装修 材料 选择 心得 ( 组图 ) 看到 形形色色 各种 式样 的 装修 过程 以及 一些 成品 房 的 展示 ， 如今 自己 的 房间 也 装修 好 了 ， 给 大家 写些 心得体会 ， 同时 我 也 结合 了 一些 其它 装修 达人 的 相关 经验 ， 供 大家 参考 。 乳胶漆 选择 篇 ： 通常 乳胶漆 按 光泽 可 分为 平光 ， 亚光 ， 柔光 ， 丝光 ， 半光 。 ( 网上 查 得 ) 按 性能 可 分为 普通型 ， 功能性 ， 净味型 ， 净化 空气型 。 ( 达 人 授意 ) 目前 环保 地位 的 净味型 乳胶漆 是 内墙 乳胶漆 的 首选 。 目前 市场 上 有售 的 净味型 乳胶漆 有 两类 。 一种 乳胶漆 自身 的 味道 就 很 低 ， 很 纯净 ， 同时 散味性 也 高 。 另 一种 通过 嵌入 特殊 的 化学 香料 ， 将 原本 让 人 不悦 的 气味 掩盖 掉 ， 有 淡淡的 芳香 气味 ， 此类 产品 ， 本人 建议 不要 多用 ， 毕竟 只是 掩盖 而已 ， 闻多 了 自然 没 啥 好处 。 例如 很多 小 品牌 的 净味 产品 ， 知名品牌 中 多乐士 的 家丽安净味 、 超易 洗净 味 以及 抗裂 净味 都 是 属于 这种 假净味 ， 是 有害 人体 健康 的 。 那么 如何 选购 第一   选择 大 品牌 ， 专卖店 购买 。 注意 生产日期 和 保质期 。 第二 ， 查看 产品 检测 报告 是否 达到 国家 环保 标准 。 第三 ， 闻 气味 ， 真正 净味 产品 气味 很 低 ， 且 无 刺激性 。 第四 ， 看 外观 ， 质量 好 的 涂料 流动性 好 ， 均匀 细腻 。 第五 ， 用小棍 搅起 一点 乳胶漆 ， 能 挂 丝长 ， 不断 ， 均匀 下坠 ， 用 手指 轻 捻 ， 以滑 而 均匀 细腻 的 为 佳 。 ( 个人 经验 结合 达 人 建议 ) 施工 时 的 小 诀窍 有 哪些 呢 ？ 首先 ， 使用 前要 搅拌 均匀 。 其次 根据 产品 使用 说明 ， 选择 合适 的 施工 方法 进行 涂刷 。 涂刷 时 的 稀释 比例 ， 请 参见 产品包装 说明 。 注意 稀释 比例 不要 超过 建议 稀释 比例 的 最大值 。 建议 涂装 遍数 为 ： 底漆 一遍 ， 乳胶漆 两遍 。 时间 间隔 以 包装 说明 为准 。 涂装 完后 ， 一定 要 及时 将 所有 的 器具 清洗 干净 。 
 家居 	 罗马式 喷泉 是 花园 中 一大 亮点 ( 图 ) 古董 坛 加上 罗马式 喷泉 是 花园 中 一大 亮点 。 水坛 和 喷泉 底座 的 斑斑 锈迹 不但 不 影响 美观 反而 增添 了 别致 的 韵味 。 搭配 上 周围 郁郁葱葱 的 植物 ， 那种 幽然 宁静 的 氛围 使人 陶醉 。   
 家居 	 罗马柱 门 的 石膏 线条 秀气 挺拔 ( 图 ) 罗马柱 门 的 石膏 线条 秀气 挺拔 ， 白色 线条 的 精细 纤巧 将 客厅 的 奢华 观感 自然 过渡 到 另 一间 舒雅 闲适 的 休闲 客厅 。 装饰 的 承前启后 使 风格 的 转变 不 显 突兀 。 
 家居 	 置物架 家中 很小 的 一个 部分 ( 图 ) 置物架 本该 只是 家中 很小 的 一个 部分 ， 如何 能 让 这个 小小的 框架 能够 发挥 画龙点睛 的 大 作用 呢 ? 看看 设计师 的 新创意 吧 ， 让 我们 的 家 也 “ 活 ” 起来 ! 这样 的 书架 是不是 很 符合 现代人 的 思想 呢 ? 方便 看书 也 方便 休息 ， 劳逸结合 的 创意 杰作 。 
 家居 	 美中不足   没有 装修 电视 背景墙 ( 图 ) 客厅 “ 饰 ” 前 ： 电视柜 旁 的 角落 说 小 不小 ， 说 大不大 ， 但是 空着 就 觉得 别扭 ， 特别 在 素白 素白 没有 装修 电视 背景墙 的 家里 就 更 显得 美中不足 了 。 
 家居 	 美丽 女王   梳妆 室 别样 诱惑 ( 组图 ) 如果 你 平时 只 在 卫生间 里 挂面 镜子 权 作 梳洗打扮 之用 ， 那 就 太 亏待 自己 了 。 朴素 的 生活 中 不妨 加 一点点 奢侈 ， 在 房间 中 开辟 一个 从容 化妆 的 梳妆台 ， 会 让 一整天 的 生活 都 散发出 芳香 四溢 的 妩媚 气息 。 
 家居 	 美丽 舒适 的 卧室 ( 图 ) 美丽 舒适 的 卧室 ， 一定 少不了 可爱 时尚 的 床品 装饰 。 协调 清新 的 色彩 搭配 ， 能 给 你 的 卧室 增添 几分 写意 和 情调 ， 让你在 休息 之 余 ， 享受 一份 赏心悦目 的 恬淡 氛围 。 快 来 看看 这 其中 有没有 很合 你 意 的 。 美丽 舒适 的 卧室 ， 一定 少不了 可爱 时尚 的 床品 装饰 。 协调 清新 的 色彩 搭配 ， 能 给 你 的 卧室 增添 几分 写意 和 情调 ， 让你在 休息 之 余 ， 享受 一份 赏心悦目 的 恬淡 氛围 。 快 来 看看 这 其中 有没有 很合 你 意 的 。 
 家居 	 美人 榻 的 外形 已经 不再 简单 ( 图 ) 而今 ， 美人 榻 的 外形 已经 不再 是 简单 、 硬朗 的 样子 ， 舒适型 、 美观 型 、 奇特 造型 的 榻 ， 层出不穷 ， 迷乱 了 我们 的 眼睛 。 而 功能 也 不仅仅 是 为 暂时 的 休息 而 使用 ， 更 多 的 是 加入 极其 人性化 的 因素 ， 为 人们 生活 注入 了 更 多 休闲 元素 ， 同时 ， 也 增强 了 居室 的 美观 效果 。 
 家居 	 美国 旧金山 的 一对 夫妇 ( 图 ) 温存 优雅 的 恬淡 纯色 系 装修 风格 总会 让 人 觉得 干净 而 舒适 ， 让 我们 来 看看 美国 旧金山 的 一对 年轻夫妇 如何 装扮 他们 的 家 。 
 家居 	 美国纽约 阁楼 床边 的 家具 ( 图 ) 发现 于 美国 康涅狄格州 的 农场 谷仓 中 ， 这个 长 条桌 以 独特 的 方式 成为 了 美国纽约 阁楼 床边 的 家具 。   
 家居 	 美女 与 野兽   迪斯尼 动画片 里 的 人物 ( 图 ) 儿童房 一直 是 家长 和 社会 关注 的 非常 焦点 的 问题 ， 现在 ， 一 提到 涂料 的 使用 ， 家长 就 会 谈虎色变 。 假如 涂料 含铅量 过高 ， 岂 不是 对 孩子 生长发育 有害 了 ， 所以 应该 是 尽量 选择 比较 环保 的 ， 净味 的 涂料 。 现在 市面上 有 很多 净味 产品 ， 如立邦 净味 产品 系列 等 。 还有 可以 通过 加强 通风 换气 ， 摆放 植物 、 用 光触媒 喷 、 用 空气 净化器 等 。 
